ride_time,station
2022-02-04 08:41:00,중앙병원입구.송내자이아파트
2022-02-04 12:21:00,부천시민학습원
2022-02-04 12:30:00,신중동역2번출구.원미경찰서.롯데백화점
2022-02-04 12:33:00,신중동
2022-02-04 14:10:00,부천대입구
2022-02-04 14:21:00,축협원미지점
2022-02-04 15:53:00,축협원미지점
2022-02-04 16:04:00,시민운동장.시민회관
2022-02-04 18:06:00,중앙병원입구.송내자이아파트
2022-02-04 18:46:00,여월중
2022-02-04 21:54:00,중동
2022-02-05 07:13:00,여월중
2022-02-05 07:22:00,춘의역6번출구
2022-02-05 07:23:00,춘의
2022-02-05 07:25:00,중동
2022-02-05 11:16:00,은하마을.덕유마을
2022-02-05 11:18:00,신중동행정복지센터.고용노동지청
2022-02-05 17:30:00,춘의
2022-02-05 17:33:00,춘의역
2022-02-05 17:43:00,여월중
2022-02-05 19:58:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-05 20:02:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-05 20:07:00,계룡리슈빌
2022-02-05 21:45:00,중동
2022-02-06 11:23:00,여월중
2022-02-06 12:57:00,은하쌍용아파트
2022-02-06 13:03:00,부명고.순천향대학병원
2022-02-06 16:56:00,부명고.순천향대학병원
2022-02-06 17:02:00,송내역.로데오거리
2022-02-06 17:05:00,송내
2022-02-06 17:37:00,신동아아파트
2022-02-07 07:21:00,중동
2022-02-07 08:10:00,여월중
2022-02-07 08:42:00,중앙병원입구.송내자이아파트
2022-02-07 08:55:00,신중동
2022-02-07 12:26:00,복지교회.여월성당
2022-02-07 12:41:00,역곡
2022-02-07 12:47:00,역곡
2022-02-07 13:13:00,역곡
2022-02-07 13:22:00,부천
2022-02-07 13:35:00,부천북부역농협
2022-02-07 13:50:00,성곡동주민센터
2022-02-07 14:43:00,중동행정복지센터.시민회관
2022-02-07 14:53:00,축협원미지점
2022-02-07 18:41:00,축협원미지점
2022-02-07 19:02:00,시민운동장.시민회관
2022-02-07 21:12:00,송내역남부
2022-02-07 21:41:00,여월중
2022-02-07 21:50:00,중동
2022-02-07 22:22:00,신중동
2022-02-08 06:52:00,부천대입구
2022-02-08 07:00:00,축협원미지점
2022-02-08 07:21:00,중동
2022-02-08 09:08:00,신중동
2022-02-08 11:04:00,축협원미지점
2022-02-08 11:16:00,KT부천지사
2022-02-08 11:38:00,은하마을.덕유마을
2022-02-08 11:51:00,상동역6번출구.세이브존
2022-02-08 12:58:00,부천시민학습원
2022-02-08 13:03:00,은하쌍용아파트
2022-02-08 13:09:00,신중동역2번출구.원미경찰서.롯데백화점
2022-02-08 13:13:00,신중동
2022-02-08 13:16:00,송내역.로데오거리
2022-02-08 13:47:00,송내역B
2022-02-08 14:08:00,삼익세라믹아파트.SKVIEW아파트
2022-02-08 15:25:00,중동행정복지센터.시민회관
2022-02-08 15:37:00,풍림아파트.부천다문화지원센터
2022-02-08 16:02:00,소사
2022-02-08 16:15:00,송내
2022-02-08 16:21:00,송내역남부(광역버스)
2022-02-08 19:29:00,신중동
2022-02-08 19:31:00,신중동역3번출구.원미경찰서.롯데백화점
2022-02-08 19:42:00,부천시민학습원
2022-02-08 21:38:00,신중동
2022-02-08 21:47:00,중동
2022-02-08 22:11:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-08 22:13:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-08 22:20:00,계룡리슈빌
2022-02-09 07:22:00,중동
2022-02-09 12:18:00,신중동
2022-02-09 13:01:00,부천시민학습원
2022-02-09 13:10:00,신중동역2번출구.원미경찰서.롯데백화점
2022-02-09 13:13:00,신중동
2022-02-09 18:41:00,부천시청역2번출구.현대백화점.이마트
2022-02-09 19:17:00,신중동
2022-02-09 19:24:00,신중동역3번출구.원미경찰서.롯데백화점
2022-02-09 19:31:00,부천시민학습원
2022-02-09 20:03:00,신중동
2022-02-09 21:46:00,중동
2022-02-10 06:46:00,부천대입구
2022-02-10 06:55:00,축협원미지점
2022-02-10 07:22:00,중동
2022-02-10 10:44:00,축협원미지점
2022-02-10 10:58:00,시민운동장.시민회관
2022-02-10 11:20:00,부천시청
2022-02-10 13:01:00,부천시민학습원
2022-02-10 13:08:00,신중동역2번출구.원미경찰서.롯데백화점
2022-02-10 13:13:00,신중동
2022-02-10 17:05:00,축협원미지점
2022-02-10 17:20:00,KT부천지사
2022-02-10 18:58:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-10 19:02:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-10 19:08:00,신중동역3번출구.롯데백화점
2022-02-10 19:16:00,신중동
2022-02-10 19:26:00,신중동역3번출구.원미경찰서.롯데백화점
2022-02-10 19:37:00,부천시민학습원
2022-02-10 21:46:00,중동
2022-02-11 07:22:00,중동
2022-02-11 08:51:00,부천시청
2022-02-11 10:22:00,신중동
2022-02-11 10:28:00,부천종합운동장
2022-02-11 10:57:00,부천종합운동장
2022-02-11 11:12:00,신중동
2022-02-11 12:20:00,도당주민지원센터
2022-02-11 12:58:00,부천시민학습원
2022-02-11 13:09:00,신중동역2번출구.원미경찰서.롯데백화점
2022-02-11 13:12:00,신중동
2022-02-11 17:59:00,부천시청역2번출구.현대백화점.이마트
2022-02-11 19:11:00,신중동
2022-02-11 19:19:00,신중동역3번출구.원미경찰서.롯데백화점
2022-02-11 19:26:00,부천시민학습원
2022-02-11 19:39:00,상동
2022-02-11 21:12:00,춘의역7번출구
2022-02-11 21:18:00,도당사거리.도당중학교
2022-02-11 21:53:00,중동
2022-02-12 07:26:00,중동
2022-02-12 10:39:00,부천터미널소풍
2022-02-12 16:17:00,부천터미널소풍
2022-02-12 16:26:00,은하마을.덕유마을
2022-02-12 16:39:00,춘의
2022-02-12 16:44:00,송내역C
2022-02-12 16:45:00,송내
2022-02-12 18:35:00,대성병원
2022-02-12 18:58:00,서림아파트
2022-02-12 21:05:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-12 21:06:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-12 21:10:00,부천시청역1번출구
2022-02-12 21:45:00,중동
2022-02-12 22:10:00,부강아파트
2022-02-12 22:28:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-12 22:28:00,대성병원
2022-02-12 22:38:00,상동역7번출구.세이브존
2022-02-12 22:47:00,금강마을상가.한라마을
2022-02-13 05:43:00,중동
2022-02-13 13:41:00,상동역8번출구세이브존
2022-02-13 14:15:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-13 22:11:00,중동
2022-02-13 22:22:00,대성병원.심곡천사거리
2022-02-13 23:11:00,상동역1번출구.부천터미널소풍.홈플러스
2022-02-14 07:22:00,중동
2022-02-14 08:43:00,상동
2022-02-14 08:53:00,세일병원입구
2022-02-14 18:12:00,삼정종합사회복지관
2022-02-14 19:31:00,상동
2022-02-14 21:53:00,중동
2022-02-15 06:46:00,부천대입구
2022-02-15 06:55:00,축협원미지점
2022-02-15 07:22:00,중동
2022-02-15 08:54:00,상동
2022-02-15 13:01:00,풍림아파트.부천다문화지원센터
2022-02-15 13:06:00,부천시민학습원
2022-02-15 13:11:00,KT부천지사
2022-02-15 13:12:00,신중동역2번출구.원미경찰서.롯데백화점
2022-02-15 13:16:00,신중동
2022-02-15 16:58:00,부천시청역4번출구.현대백화점.경기예고
2022-02-15 17:00:00,부천터미널소풍
2022-02-15 17:03:00,부천터미널소풍
2022-02-15 19:18:00,부천시청
2022-02-15 19:42:00,부천시민학습원
2022-02-15 21:54:00,중동
