station,stationid,latitude,longitude
양우아파트,211000217,37.4701333,126.7976
양우아파트,211000012,37.4699667,126.7962
양우아파트,211000008,37.47015,126.7964
양지마을,211000263,37.4712167,126.8134
양지마을,211000262,37.471,126.8133833
양지마을입구,211000256,37.4724667,126.8142167
양지마을입구,211000257,37.47265,126.81415
양지초교,211000231,37.4799333,126.8163333
양지초교,211000230,37.47965,126.8150333
여우고개입구,211000129,37.4712333,126.79305
여우고개입구,211000128,37.4707167,126.7927833
여월농업공원.여월휴먼시아4단지,212000057,37.5088,126.7982
여월농업공원.휴먼시아4단지,212000049,37.5098667,126.7981667
여월단독주택,212000305,37.5109167,126.8076833
여월단독주택,212000304,37.5108833,126.8078833
여월중,212000031,37.5194,126.7974333
여월중,212000012,37.51945,126.7978667
여월천(경유),277102930,37.5356333,126.7940833
여월천(경유),277102933,37.5355667,126.7941833
여월휴먼시아1단지,212000443,37.5146833,126.8000167
여월휴먼시아1단지,212000425,37.5148333,126.7999667
여월휴먼시아1단지,212000444,37.5160167,126.8014333
여월휴먼시아1단지,212000426,37.5158167,126.80135
여월휴먼시아1단지.까치울중학교,212000311,37.5144833,126.8022
여월휴먼시아1단지.까치울중학교,212000310,37.5148167,126.8021833
여월휴먼시아2.3단지,212000306,37.5121167,126.80605
여월휴먼시아2.3단지,212000307,37.5118667,126.80605
여월휴먼시아3단지,212000302,37.5087667,126.8080333
여월휴먼시아3단지,212000303,37.5087333,126.80785
여월휴먼시아4.5단지,212000309,37.5103667,126.8012333
여월휴먼시아4.5단지,212000308,37.51055,126.8005667
여월휴먼시아5단지,212000050,37.512,126.7997333
역곡1동주민센터,210000592,37.4897333,126.8158667
역곡1동주민센터입구,210000019,37.4883833,126.8162667
역곡1동주민센터입구,210000279,37.4886167,126.8168667
역곡2동주민센터,210000420,37.4868167,126.80685
역곡2동주민센터,210000434,37.4867333,126.8062
역곡2동주민센터입구,210000308,37.4844333,126.8074833
역곡2동주민센터입구,210000297,37.48435,126.80655
역곡2치안센타(마),210000414,37.4864833,126.8083333
역곡감리교회.역곡2동성당,210000411,37.4876333,126.8090167
역곡감리교회.역곡2동성당,210000412,37.4874833,126.80895
역곡고가입구,211000073,37.4862167,126.8166667
역곡고가입구,211000070,37.4868167,126.8172
역곡시장,210000299,37.4874833,126.8106667
역곡시장,210000585,37.4885667,126.8117333
역곡시장(마),210000418,37.48655,126.8111833
역곡시장(마),210000417,37.4866167,126.81135
역곡안동네,210000386,37.4935833,126.8084667
역곡안동네,210000304,37.4932,126.80875
역곡역.역곡남부시장,211000118,37.4842167,126.8119833
역곡역.역곡남부시장,211000130,37.4841833,126.8110333
역곡역.역곡북부시장입구,210000018,37.48615,126.8121167
역곡역.역곡북부시장입구,210000280,37.4860833,126.8124833
역곡역남부,211000069,37.484,126.8125667
역곡역남부,211000074,37.4847333,126.81315
역곡역북부,210000307,37.4855167,126.8107667
역곡역북부,210000298,37.4856333,126.8106
역곡역북부,210000484,37.4857333,126.8118333
역곡역북부,210000416,37.4856167,126.8116
역곡역북부(마),210000587,37.4859667,126.8120833
역곡초.중.고등학교,210000301,37.4912,126.8088667
역곡초.중.고등학교,210000305,37.49065,126.8093667
영상단지후문,210000008,37.5092333,126.7492
영스포렉스,211000101,37.48425,126.7696167
영안아파트,210000222,37.4962333,126.7623833
영안아파트,210000227,37.4965167,126.7627667
영화아파트,212000118,37.52145,126.7987833
영화아파트,212000083,37.5298833,126.79965
영화아파트,212000087,37.5300833,126.7996333
예스빌라,212000353,37.5233,126.8218667
예스빌라,212000322,37.5231667,126.8219167
예원아파트.역곡동교회,210000594,37.49005,126.8127
오건아파트,212000144,37.5285167,126.8050333
오건아파트,212000143,37.5286333,126.8046333
오쇠교,212000364,37.5378333,126.8075
오쇠교,212000363,37.5387667,126.8071667
오쇠동삼거리,212000002,37.5428,126.8094333
오쇠동삼거리,212000021,37.5417167,126.8087333
오쇠동삼거리,212000167,37.5425833,126.8088
오쇠동입구,212000022,37.53955,126.8076333
오쇠삼거리(경유),277102934,37.5424167,126.80885
오쇠삼거리(경유),277102931,37.5425833,126.8088167
오정경찰서.부천옹기박물관,212000374,37.51385,126.8010667
오정경찰서.여월휴먼시아5단지,212000056,37.5118833,126.8000667
오정농협,212000026,37.5261833,126.8049833
오정농협,212000017,37.52615,126.8046667
오정동(경유),277101973,37.5318,126.7811
오정동경인OBS방송국,212000111,37.5301833,126.7872333
오정동경인OBS방송국,212000008,37.5297833,126.7862333
오정동주공아파트(마),212000433,37.5292,126.78585
오정동행정복지센터.대명초등학교,212000117,37.5271,126.7970833
오정동행정복지센터.대명초등학교,212000113,37.52665,126.7978
오정동행정복지센터.오정어울마당,212000084,37.5265,126.7968333
오정동행정복지센터.오정어울마당,212000114,37.528,126.7968833
오정동행정복지센터.오정어울마당,212000371,37.52745,126.7969667
오정동행정복지센터.오정어울마당,212000416,37.52655,126.7966333
오정산업단지,212000376,37.5294167,126.7802
오정산업단지.구내,212000369,37.5290667,126.77995
오정산업단지입구,212000381,37.5289,126.77915
오정산업단지입구,212000382,37.5287667,126.7791333
오정샛말주택단지,212000415,37.5338333,126.7849
오정샛말주택단지,212000414,37.5336833,126.7853667
오정시장.노동복지회관,212000131,37.5241833,126.7864833
오정어울마당,212000042,37.52795,126.7953333
오정초등학교,212000025,37.5275167,126.8067833
오정초등학교,212000018,37.5281333,126.8070167
오정휴먼시아(중),212000388,37.5319167,126.7838
오정휴먼시아(중),212000387,37.53205,126.7853
오정휴먼시아2단지,212000182,37.5317833,126.78725
오정휴먼시아3단지,212000179,37.5330833,126.79065
오정휴먼시아3단지,212000178,37.5330833,126.7910167
오정휴먼시아3단지,212000183,37.5322333,126.7873333
오케이산업,212000383,37.5338833,126.78255
오케이산업,212000377,37.5338,126.7829
옥길LH1단지,211000273,37.4714667,126.8169333
옥길LH1단지,211000272,37.4716167,126.81715
옥길단독1블럭,211000222,37.4700833,126.8200667
옥길단독1블럭,211000250,37.4700667,126.8197333
옥길단독2블럭.상업지역,211000169,37.46735,126.8226
옥길단독2블럭.상업지역,211000201,37.46755,126.8223667
옥길동마을회관,211000209,37.47445,126.8241
옥길동마을회관,211000094,37.4744667,126.8242167
옥길브리즈힐후문,211000092,37.46135,126.8201833
옥길중.버들초등학교,211000279,37.46365,126.8274667
온반도체,210000356,37.5117,126.78485
온반도체,210000347,37.5109167,126.7845333
온수공단입구,210000598,37.4914333,126.8154833
우남사거리,210000596,37.4888333,126.8132833
우남사거리,210000595,37.4890333,126.81325
욱일아파트,212000089,37.5313833,126.80535
욱일아파트,212000081,37.5309167,126.80555
웅진플레이도시.상동호수공원,210000494,37.5013833,126.74535
원미1동행정복지센터.원미어울마당,210000360,37.4973833,126.7859
원미1동행정복지센터.원미어울마당,210000558,37.4977833,126.7865167
원미1동행정복지센터.원미어울마당,210000557,37.4978333,126.7873667
원미1동행정복지센터.원미어울마당,210000343,37.4975167,126.7855667
원미경찰서,210000612,37.5018,126.77775
원미경찰서,210000613,37.5014667,126.7772333
원미경찰서(마을),210000580,37.5018167,126.7768333
원미고등학교,210000110,37.4974333,126.7817167
원미고등학교,210000238,37.4974,126.7815667
원미고등학교,210000615,37.4983,126.7830333
원미동우체국(마을),210000616,37.4953833,126.7850833
원미두산아파트,210000153,37.49545,126.7915333
원미두산아파트,210000137,37.4951333,126.79165
원미두산아파트후문,210000092,37.4950833,126.7954167
원미어울마당,210000610,37.4985,126.7829333
원미어울마당(마을),210000618,37.4961,126.7855333
원미지구대,210000559,37.4973833,126.79055
원미지구대,210000560,37.4972833,126.7900833
원미풍림시장.풍림아파트,210000604,37.4929667,126.7891667
원미풍림시장.풍림아파트,210000605,37.4927333,126.7899
원미풍림아파트,210000151,37.49045,126.7903
원미풍림아파트.사우촌,210000139,37.49025,126.7904167
원종2동주민센터.사회복지회관,212000312,37.5255833,126.7994
원종2동주민센터.사회복지회관,212000141,37.5253,126.79925
원종IC(중),212000385,37.5327667,126.8032167
원종IC(중),212000386,37.5321833,126.8015333
원종고등학교,212000239,37.5274167,126.7999333
원종고등학교,212000249,37.5270667,126.7997833
원종동금호어울림,212000251,37.5279,126.8039333
원종동금호어울림,212000237,37.5279667,126.8034833
원종사거리,212000027,37.5228667,126.8050167
원종사거리,212000016,37.5232,126.8046667
원종사거리.부천우리병원,212000418,37.5243667,126.8050167
원종종합시장,212000337,37.5198167,126.8055333
원종종합시장,212000336,37.5199167,126.8056
원종종합시장.성곡사거리,212000015,37.5202333,126.8046833
