birth_year,gender,used_time,transportation_type,transportation_num,station_name,getonoff_code,transfer_result,amt
1976,F,2022-01-11 15:51:00,BUS,3,중동행정복지센터.시민회관,R,N,1450
1976,F,2022-01-11 16:04:00,BUS,3,축협원미지점,A,N,0
1976,F,2022-01-11 19:04:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-11 19:20:00,BUS,3,시민운동장.시민회관,A,N,0
1990,F,2022-01-11 19:40:00,BUS,52,신중동역3번출구.원미경찰서.롯데백화점,R,N,1450
1986,M,2022-01-11 19:40:00,SUB,미확인노선,상동,A,N,300
1990,F,2022-01-11 19:48:00,BUS,52,부천시민학습원,A,N,0
1967,M,2022-01-11 21:55:00,SUB,1호선,중동,A,N,200
1967,M,2022-01-12 07:22:00,SUB,1호선,중동,R,N,1250
1986,M,2022-01-12 21:20:00,SUB,미확인노선,상동,A,N,300
1967,M,2022-01-12 21:47:00,SUB,1호선,중동,A,N,200
1986,M,2022-01-12 21:54:00,BUS,70,상동역1번출구.부천터미널소풍.홈플러스,R,Y,200
1986,M,2022-01-12 21:55:00,BUS,70,부천시청역3번출구.경기예고.현대백화점,A,Y,0
2004,M,2022-01-13 06:16:00,SUB,미확인노선,부천시청,A,N,0
1983,M,2022-01-13 06:34:00,BUS,19,송내e편한세상.부천고,R,N,1450
1976,F,2022-01-13 07:07:00,BUS,3,부천대입구,R,N,1450
1976,F,2022-01-13 07:16:00,BUS,3,축협원미지점,A,N,0
1967,M,2022-01-13 07:23:00,SUB,1호선,중동,R,N,1250
1983,M,2022-01-13 08:29:00,BUS,12-1,포도마을사거리.현대백화점.이마트,R,N,1450
1983,F,2022-01-13 08:34:00,BUS,80,부명고.순천향대학병원,R,N,1250
1983,F,2022-01-13 08:40:00,BUS,80,송내역.로데오거리,A,N,0
1983,M,2022-01-13 08:50:00,BUS,6-2,중동역,R,Y,0
1983,M,2022-01-13 08:50:00,BUS,12-1,중동역,A,N,0
1983,M,2022-01-13 08:56:00,BUS,6-2,부천고교.현대아파트,A,Y,0
2004,M,2022-01-13 18:26:00,SUB,미확인노선,부천시청,R,N,720
1976,F,2022-01-13 18:27:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-13 18:43:00,BUS,3,시민운동장.시민회관,A,N,0
1983,F,2022-01-13 18:56:00,BUS,70,상동역1번출구.부천터미널소풍.홈플러스,R,N,1450
1967,M,2022-01-13 21:49:00,SUB,1호선,중동,A,N,200
2004,M,2022-01-13 23:00:00,SUB,미확인노선,부천시청,A,N,0
1967,M,2022-01-14 07:27:00,SUB,1호선,중동,R,N,1250
1986,M,2022-01-14 09:08:00,SUB,미확인노선,부천시청,R,N,1250
2004,M,2022-01-14 16:37:00,SUB,미확인노선,신중동,R,N,720
2004,M,2022-01-14 16:51:00,SUB,미확인노선,부천종합운동장,A,N,0
2004,M,2022-01-14 17:06:00,SUB,미확인노선,부천종합운동장,R,N,720
2004,M,2022-01-14 17:18:00,SUB,미확인노선,신중동,A,N,0
2004,M,2022-01-14 17:52:00,SUB,미확인노선,부천시청,R,N,720
1967,M,2022-01-14 21:47:00,SUB,1호선,중동,A,N,200
1986,M,2022-01-15 01:46:00,BUS,1300,부천시청역5번출구,A,Y,0
1976,F,2022-01-15 05:26:00,BUS,3,부천대입구,R,N,1250
1976,F,2022-01-15 05:34:00,BUS,3,축협원미지점,A,N,0
2004,M,2022-01-15 06:28:00,BUS,24,상동역1번출구.부천터미널소풍.홈플러스,A,N,0
2004,M,2022-01-15 06:28:00,BUS,23-2,상동역1번출구.부천터미널소풍.홈플러스,R,Y,140
2004,M,2022-01-15 06:31:00,BUS,23-2,계룡리슈빌,A,Y,0
1967,M,2022-01-15 07:27:00,SUB,1호선,중동,R,N,1250
1967,M,2022-01-15 14:48:00,SUB,1호선,중동,A,N,200
2004,M,2022-01-16 09:57:00,SUB,미확인노선,부천시청,R,N,720
2004,M,2022-01-16 21:18:00,BUS,6,부천자유시장.대산동행정복지센터,R,N,1010
2004,M,2022-01-16 21:33:00,BUS,6,경기국제통상고.포도마을뉴서울.중앙공원,A,N,0
1967,M,2022-01-17 07:22:00,SUB,1호선,중동,R,N,1250
1983,M,2022-01-17 07:41:00,SUB,미확인노선,상동,R,N,1250
1979,F,2022-01-17 07:47:00,BUS,95,오정농협,R,N,1450
1979,F,2022-01-17 08:00:00,SUB,미확인노선,부천종합운동장,R,N,1250
1983,F,2022-01-17 19:08:00,BUS,77-1,송내역.투나,R,N,1850
1983,F,2022-01-17 19:15:00,BUS,77-1,포도마을.보람마을,A,N,0
1991,F,2022-01-17 21:42:00,BUS,661,춘의역,R,N,1200
1991,F,2022-01-17 21:45:00,BUS,661,도당동주민센터,A,N,0
1967,M,2022-01-17 21:49:00,SUB,1호선,중동,A,N,200
1986,M,2022-01-17 22:29:00,SUB,1호선,부천,A,N,200
1986,M,2022-01-17 22:41:00,BUS,5-3,부천역북부(기점),R,Y,200
1986,M,2022-01-17 23:06:00,BUS,5-3,한라마을.금강주공아파트,A,Y,100
1976,F,2022-01-18 06:55:00,BUS,3,부천대입구,R,N,1450
1976,F,2022-01-18 07:02:00,BUS,3,축협원미지점,A,N,0
1967,M,2022-01-18 07:23:00,SUB,1호선,중동,R,N,1250
1976,F,2022-01-18 10:48:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-18 11:04:00,BUS,3,시민운동장.시민회관,A,N,0
1990,F,2022-01-18 13:04:00,BUS,52,부천시민학습원,R,N,1450
1990,F,2022-01-18 13:12:00,BUS,52,신중동역2번출구.원미경찰서.롯데백화점,A,N,0
1990,F,2022-01-18 13:16:00,SUB,미확인노선,신중동,R,Y,0
1976,F,2022-01-18 15:21:00,BUS,3,중동행정복지센터.시민회관,R,N,1450
1976,F,2022-01-18 15:38:00,BUS,3,축협원미지점,A,N,0
1959,F,2022-01-18 15:52:00,BUS,19,부천축산물공판장,R,N,1450
1959,F,2022-01-18 16:15:00,BUS,19,포도마을사거리.현대백화점.이마트,A,N,0
1976,F,2022-01-18 18:16:00,BUS,3,풍림아파트.부천다문화지원센터,R,N,1450
1976,F,2022-01-18 18:31:00,BUS,3,시민운동장.시민회관,A,N,0
1967,M,2022-01-18 21:52:00,SUB,1호선,중동,A,N,200
1967,M,2022-01-19 07:22:00,SUB,1호선,중동,R,N,1250
1983,F,2022-01-19 08:26:00,BUS,87,송내역.로데오거리,R,N,1250
1991,F,2022-01-19 11:42:00,SUB,미확인노선,춘의,R,N,1250
1990,F,2022-01-19 13:01:00,BUS,52,부천시민학습원,R,N,1450
1990,F,2022-01-19 13:09:00,BUS,52,신중동역2번출구.원미경찰서.롯데백화점,A,N,0
1990,F,2022-01-19 13:13:00,SUB,미확인노선,신중동,R,Y,0
1990,M,2022-01-19 13:18:00,BUS,8,중원초교,R,N,1450
1990,M,2022-01-19 13:23:00,BUS,8,포도마을사거리.현대백화점.이마트,A,N,0
1959,F,2022-01-19 15:45:00,BUS,16,부천축산물공판장,R,N,1450
1959,F,2022-01-19 16:16:00,BUS,16,상동역6번출구.세이브존,A,N,0
1959,F,2022-01-19 16:32:00,BUS,50-1,상동역1번출구.부천터미널소풍.홈플러스,R,Y,0
1959,F,2022-01-19 16:35:00,BUS,50-1,포도마을사거리.현대백화점.이마트,A,Y,0
1959,F,2022-01-19 16:36:00,BUS,5,포도마을사거리.현대백화점.이마트,R,Y,0
1959,F,2022-01-19 16:41:00,BUS,5,중동시장앞.넘말,A,Y,0
1990,M,2022-01-19 17:15:00,SUB,미확인노선,까치울,A,N,100
1990,M,2022-01-19 17:25:00,BUS,013-3,까치울역3번출구,R,Y,50
1990,M,2022-01-19 17:34:00,BUS,013-3,성곡파출소,A,Y,0
1967,M,2022-01-19 21:55:00,SUB,1호선,중동,A,N,200
1983,M,2022-01-20 06:46:00,BUS,19,중동역,R,N,1450
1983,M,2022-01-20 06:54:00,BUS,19,부천시청역2번출구.현대백화점.이마트,A,N,0
1976,F,2022-01-20 06:55:00,BUS,3,부천대입구,R,N,1450
1976,F,2022-01-20 07:02:00,BUS,3,축협원미지점,A,N,0
1967,M,2022-01-20 07:23:00,SUB,1호선,중동,R,N,1250
1979,F,2022-01-20 07:39:00,BUS,017-1,오정농협,R,N,1300
1979,F,2022-01-20 07:47:00,BUS,017-1,까치울역2번출구,A,N,0
1979,F,2022-01-20 07:51:00,SUB,미확인노선,까치울,R,Y,0
1990,M,2022-01-20 08:00:00,BUS,50,여월중,R,N,1450
1983,M,2022-01-20 08:29:00,BUS,19,포도마을사거리.현대백화점.이마트,R,N,1450
1990,M,2022-01-20 08:36:00,BUS,50,중앙병원입구.송내자이아파트,A,N,0
1983,M,2022-01-20 08:46:00,BUS,19,송내e편한세상.부천고,R,N,1450
1976,F,2022-01-20 10:39:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-20 10:53:00,BUS,3,시민운동장.시민회관,A,N,0
1990,F,2022-01-20 12:58:00,BUS,52,부천시민학습원,R,N,1450
1990,F,2022-01-20 13:08:00,BUS,52,신중동역2번출구.원미경찰서.롯데백화점,A,N,0
1990,F,2022-01-20 13:13:00,SUB,미확인노선,신중동,R,Y,0
1959,F,2022-01-20 16:47:00,BUS,8,부천체육관,R,N,1450
2004,M,2022-01-20 16:50:00,SUB,미확인노선,신중동,R,N,720
1959,F,2022-01-20 16:56:00,BUS,8,부명고.순천향대학병원,A,N,0
2004,M,2022-01-20 17:05:00,SUB,미확인노선,부천종합운동장,A,N,0
2004,M,2022-01-20 17:18:00,SUB,미확인노선,부천종합운동장,R,N,720
2004,M,2022-01-20 17:27:00,SUB,미확인노선,신중동,A,N,0
1990,M,2022-01-20 18:09:00,BUS,50,중앙병원입구.송내자이아파트,R,N,1450
1983,F,2022-01-20 18:38:00,BUS,80,경기국제통상고.포도마을뉴서울.중앙공원,R,N,1250
1979,F,2022-01-20 18:41:00,SUB,미확인노선,까치울,A,N,0
1979,F,2022-01-20 18:44:00,BUS,98,까치울역3번출구,R,Y,200
1990,M,2022-01-20 18:49:00,BUS,50,여월중,A,N,0
1979,F,2022-01-20 19:00:00,BUS,98,원종사거리,A,Y,100
1990,F,2022-01-20 19:21:00,SUB,미확인노선,신중동,A,N,0
1990,F,2022-01-20 19:24:00,BUS,52,신중동역3번출구.원미경찰서.롯데백화점,R,Y,200
1990,F,2022-01-20 19:32:00,BUS,52,부천시민학습원,A,Y,0
1967,M,2022-01-20 21:47:00,SUB,1호선,중동,A,N,200
1991,F,2022-01-20 23:11:00,BUS,12,춘의역7번출구,R,N,1450
1991,F,2022-01-20 23:16:00,BUS,12,도당사거리.도당중학교,A,N,0
1967,M,2022-01-21 07:23:00,SUB,1호선,중동,R,N,1250
1979,F,2022-01-21 07:44:00,BUS,017-1,오정농협,R,N,1300
1979,F,2022-01-21 07:56:00,BUS,017-1,까치울역2번출구,A,N,0
1979,F,2022-01-21 07:57:00,SUB,미확인노선,까치울,R,Y,0
1990,M,2022-01-21 07:58:00,BUS,50,여월중,R,N,1450
1990,M,2022-01-21 08:29:00,BUS,50,중앙병원입구.송내자이아파트,A,N,0
1982,F,2022-01-21 08:49:00,SUB,미확인노선,신중동,R,N,1250
2004,M,2022-01-21 10:22:00,SUB,미확인노선,신중동,R,N,720
1990,F,2022-01-21 12:28:00,BUS,52,부천시민학습원,R,N,1450
1990,F,2022-01-21 12:36:00,BUS,52,위브더스테이트5단지,A,N,0
1990,F,2022-01-21 12:38:00,SUB,미확인노선,신중동,R,Y,0
1992,F,2022-01-21 12:55:00,BUS,5-4,부천역북부.농협,R,N,1450
1976,F,2022-01-21 16:53:00,BUS,8,포도마을사거리.현대백화점.이마트,R,N,1450
1976,F,2022-01-21 17:17:00,BUS,8,중동행정복지센터.시민회관,A,N,0
1990,M,2022-01-21 18:12:00,BUS,50,중앙병원입구.송내자이아파트,R,N,1450
1979,F,2022-01-21 18:35:00,SUB,미확인노선,까치울,A,N,0
1979,F,2022-01-21 18:37:00,BUS,98,까치울역3번출구,R,Y,200
1979,F,2022-01-21 18:52:00,BUS,98,원종사거리,A,Y,100
1990,M,2022-01-21 18:55:00,BUS,50,여월중,A,N,0
1990,F,2022-01-21 19:18:00,SUB,미확인노선,신중동,A,N,0
1990,F,2022-01-21 19:23:00,BUS,52,신중동역3번출구.원미경찰서.롯데백화점,R,Y,200
1990,F,2022-01-21 19:32:00,BUS,52,부천시민학습원,A,Y,0
1982,F,2022-01-21 19:50:00,SUB,미확인노선,신중동,A,N,300
1967,M,2022-01-21 21:50:00,SUB,1호선,중동,A,N,200
2004,M,2022-01-21 22:32:00,SUB,1호선,송내,A,N,160
2004,M,2022-01-21 22:35:00,BUS,23,송내역A,R,Y,290
2004,M,2022-01-21 22:48:00,BUS,23,계룡리슈빌,A,Y,80
1990,M,2022-01-22 07:07:00,BUS,50,여월중,R,N,1450
1990,M,2022-01-22 07:16:00,BUS,50,공구상가.부천천문과학관,A,N,0
1990,M,2022-01-22 07:18:00,SUB,미확인노선,춘의,R,Y,0
1967,M,2022-01-22 07:28:00,SUB,1호선,중동,R,N,1250
2004,M,2022-01-22 10:15:00,BUS,8106,송내역남부(광역버스),R,N,2140
1976,F,2022-01-22 14:22:00,BUS,606,시민운동장,R,N,1200
1976,F,2022-01-22 14:23:00,BUS,606,부천전화국,A,N,0
1990,M,2022-01-22 17:30:00,SUB,미확인노선,춘의,A,N,100
1990,M,2022-01-22 17:36:00,BUS,661,춘의역,R,Y,0
1990,M,2022-01-22 17:47:00,BUS,661,여월중,A,Y,0
2004,M,2022-01-22 21:23:00,SUB,1호선,송내,A,N,0
2004,M,2022-01-22 21:27:00,BUS,23,송내역A,R,Y,290
2004,M,2022-01-22 21:44:00,BUS,23,부천시청역1번출구,A,Y,80
1967,M,2022-01-22 21:45:00,SUB,1호선,중동,A,N,200
2004,M,2022-01-23 10:34:00,SUB,미확인노선,부천시청,R,N,720
1990,M,2022-01-23 14:08:00,BUS,5,신중동행정복지센터.고용노동지청,R,N,2900
1990,M,2022-01-23 14:13:00,BUS,5,영안아파트,A,N,0
1990,M,2022-01-23 21:36:00,BUS,5-3,신중동역3번출구.원미경찰서.롯데백화점,R,N,2900
1990,M,2022-01-23 21:45:00,BUS,5-3,부천역북부(기점),A,N,0
1967,M,2022-01-24 07:23:00,SUB,1호선,중동,R,N,1250
1979,F,2022-01-24 07:47:00,BUS,017-1,오정농협,R,N,1300
1979,F,2022-01-24 07:54:00,BUS,017-1,여월휴먼시아3단지,A,N,0
1979,F,2022-01-24 07:57:00,SUB,미확인노선,까치울,R,Y,0
1990,M,2022-01-24 08:02:00,BUS,50,여월중,R,N,1450
1990,M,2022-01-24 08:37:00,BUS,50,중앙병원입구.송내자이아파트,A,N,0
1992,F,2022-01-24 08:48:00,BUS,5,세일병원입구,R,N,1450
1982,F,2022-01-24 09:05:00,SUB,미확인노선,신중동,R,N,1250
1990,F,2022-01-24 12:28:00,BUS,52,부천시민학습원,R,N,1450
1990,F,2022-01-24 12:36:00,BUS,52,신중동역2번출구.원미경찰서.롯데백화점,A,N,0
1990,F,2022-01-24 12:39:00,SUB,미확인노선,신중동,R,Y,0
1990,M,2022-01-24 18:03:00,BUS,50,중앙병원입구.송내자이아파트,R,N,1450
1992,F,2022-01-24 18:18:00,BUS,52,대성병원.심곡천사거리,R,N,1450
1979,F,2022-01-24 18:38:00,SUB,미확인노선,까치울,A,N,0
1979,F,2022-01-24 18:39:00,BUS,017-1,까치울역3번출구,R,Y,50
1990,M,2022-01-24 18:45:00,BUS,50,여월중,A,N,0
1979,F,2022-01-24 18:53:00,BUS,017-1,원종사거리,A,Y,100
1982,F,2022-01-24 21:15:00,SUB,미확인노선,신중동,A,N,300
1967,M,2022-01-24 21:47:00,SUB,1호선,중동,A,N,200
1967,M,2022-01-25 07:23:00,SUB,1호선,중동,R,N,1250
1979,F,2022-01-25 07:44:00,BUS,017-1,오정농협,R,N,1300
1979,F,2022-01-25 07:53:00,BUS,017-1,까치울역2번출구,A,N,0
1979,F,2022-01-25 07:54:00,SUB,미확인노선,까치울,R,Y,0
1990,M,2022-01-25 07:57:00,BUS,50,여월중,R,N,1450
1990,M,2022-01-25 08:38:00,BUS,50,중앙병원입구.송내자이아파트,A,N,0
1982,F,2022-01-25 09:04:00,SUB,미확인노선,신중동,R,N,1250
1976,F,2022-01-25 10:43:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-25 10:56:00,BUS,3,부천대입구,A,N,0
1990,F,2022-01-25 12:58:00,BUS,52,대성병원.심곡천사거리,R,N,1450
1990,F,2022-01-25 13:09:00,BUS,52,신중동역2번출구.원미경찰서.롯데백화점,A,N,0
1990,F,2022-01-25 13:12:00,SUB,미확인노선,신중동,R,Y,0
1990,M,2022-01-25 18:06:00,BUS,50,중앙병원입구.송내자이아파트,R,N,1450
1979,F,2022-01-25 18:38:00,SUB,미확인노선,까치울,A,N,0
1990,M,2022-01-25 18:44:00,BUS,50,여월중,A,N,0
1979,F,2022-01-25 18:46:00,BUS,017-1,까치울역3번출구,R,Y,50
1979,F,2022-01-25 18:59:00,BUS,017-1,원종사거리,A,Y,100
1982,F,2022-01-25 20:58:00,SUB,미확인노선,신중동,A,N,300
1967,M,2022-01-25 21:49:00,SUB,1호선,중동,A,N,200
1967,M,2022-01-26 07:23:00,SUB,1호선,중동,R,N,1250
1979,F,2022-01-26 07:39:00,BUS,95,오정농협,R,N,1450
1979,F,2022-01-26 07:47:00,BUS,95,부천종합운동장역4번출구,A,N,0
1979,F,2022-01-26 07:52:00,SUB,미확인노선,부천종합운동장,R,Y,0
1990,M,2022-01-26 07:57:00,BUS,50,여월중,R,N,1450
1990,M,2022-01-26 08:30:00,BUS,50,중앙병원입구.송내자이아파트,A,N,0
1992,F,2022-01-26 08:50:00,BUS,5,세일병원입구,R,N,1450
